timestamp,station_id,temperature,pressure,humidity,latitude,longitude,elevation,is_anomaly,anomaly_type,severity,is_fault,affected_params,clean_temperature,clean_pressure,clean_humidity,anomaly_metadata
2026-08-01 00:00:00+00:00,AWS-001,20.92,989.83,72.32,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,20.92,989.83,72.32,{}
2026-08-01 00:05:00+00:00,AWS-001,20.62,989.95,73.5,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,20.62,989.95,73.5,{}
2026-08-01 00:10:00+00:00,AWS-001,20.66,990.03,72.42,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,20.66,990.03,72.42,{}
2026-08-01 00:15:00+00:00,AWS-001,20.71,990.02,72.87,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,20.71,990.02,72.87,{}
2026-08-01 00:20:00+00:00,AWS-001,20.26,990.03,74.99,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,20.26,990.03,74.99,{}
2026-08-01 00:25:00+00:00,AWS-001,19.97,990.05,76.56,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.97,990.05,76.56,{}
2026-08-01 00:30:00+00:00,AWS-001,19.95,990.04,77.26,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.95,990.04,77.26,{}
2026-08-01 00:35:00+00:00,AWS-001,19.85,989.95,77.61,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.85,989.95,77.61,{}
2026-08-01 00:40:00+00:00,AWS-001,19.81,989.8,77.84,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.81,989.8,77.84,{}
2026-08-01 00:45:00+00:00,AWS-001,19.63,989.75,78.85,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.63,989.75,78.85,{}
2026-08-01 00:50:00+00:00,AWS-001,19.75,989.86,79.35,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.75,989.86,79.35,{}
2026-08-01 00:55:00+00:00,AWS-001,19.83,989.97,78.95,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.83,989.97,78.95,{}
2026-08-01 01:00:00+00:00,AWS-001,19.79,989.93,78.41,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.79,989.93,78.41,{}
2026-08-01 01:05:00+00:00,AWS-001,19.92,989.86,77.14,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.92,989.86,77.14,{}
2026-08-01 01:10:00+00:00,AWS-001,19.92,989.87,77.44,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.92,989.87,77.44,{}
2026-08-01 01:15:00+00:00,AWS-001,19.7,989.88,77.99,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.7,989.88,77.99,{}
2026-08-01 01:20:00+00:00,AWS-001,19.71,989.9,77.24,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.71,989.9,77.24,{}
2026-08-01 01:25:00+00:00,AWS-001,19.49,989.73,79.1,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.49,989.73,79.1,{}
2026-08-01 01:30:00+00:00,AWS-001,19.6,989.91,79.23,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.6,989.91,79.23,{}
2026-08-01 01:35:00+00:00,AWS-001,19.55,989.95,79.45,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.55,989.95,79.45,{}
2026-08-01 01:40:00+00:00,AWS-001,19.47,989.92,80.18,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.47,989.92,80.18,{}
2026-08-01 01:45:00+00:00,AWS-001,19.32,989.85,81.18,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.32,989.85,81.18,{}
2026-08-01 01:50:00+00:00,AWS-001,19.51,989.89,80.72,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.51,989.89,80.72,{}
2026-08-01 01:55:00+00:00,AWS-001,19.44,989.89,81.46,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.44,989.89,81.46,{}
2026-08-01 02:00:00+00:00,AWS-001,19.34,989.87,80.31,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.34,989.87,80.31,{}
2026-08-01 02:05:00+00:00,AWS-001,19.26,989.88,80.78,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.26,989.88,80.78,{}
2026-08-01 02:10:00+00:00,AWS-001,19.34,989.85,80.91,28.6139,77.209,216.0,False,NORMAL,NONE,False,none,19.34,989.85,80.91,{}
